1,106.45,35.13
2,113.07,62.26
3,153.83,114.93
4,212.2,179.61
5,197.71,185.88
6,233.1,220.12
7,240.06,213.65
8,271.06,212.3
9,227.98,159.49
10,238.88,126.45
11,153.65,72.16
12,80.53,23.23
1,75.46,38.38
2,109.3,51.41
3,120.07,110.91
4,133.98,138.94
5,136.49,158.88
6,189.76,198.89
7,243.42,226.26
8,258.05,207.66
9,172.64,137.38
10,203.82,114
11,103.34,60.29
12,83.68,46.08
1,126.8,55.94
2,137.77,86.21
3,172.7,134.87
4,192.63,166.08
5,270.18,219.16
6,307.89,240.23
7,247.28,231.44
8,263.34,209.22
9,215.74,154.86
10,165.51,103.88
11,151.44,78.77
12,71.31,40.63
1,132.07,60.79
2,115.94,78.76
3,141.32,101.53
4,169.58,150.22
5,140.21,170.43
6,182.98,191.12
7,226.65,203.91
8,230.5,201.73
9,247.32,170.68
10,154.23,99.75
11,154.38,71.94
12,91.63,40.85
1,101.94,43.07
2,169.95,54
3,171.63,125.03
4,202.92,165.04
5,195.05,195.68
6,204.18,204.88
7,243.43,218.95
8,139.36,162.81
9,224.01,151.33
10,122.06,90.24
11,100.88,60.87
12,57.03,38.99
1,116.62,51.17
2,157.79,60.91
3,162.53,109.13
4,205.24,168.55
5,177.71,188.78
6,155.14,184.96
7,175.16,192.89
8,232,196.22
9,215.91,155.83
10,192.45,115.28
11,158.08,68.87
12,60.44,39.28
1,124.43,54.46
2,146.98,80.94
3,142.14,112.1
4,204.85,161.67
5,183.8,183.56
6,303.79,234.82
7,214.32,203.48
8,194.54,181.43
9,217.33,156.05
10,155.46,104.9
11,157.48,73.41
12,86.41,42.65
1,52.2,39.7
2,149.28,90.62
3,154.24,113.22
4,149.5,150.91
5,216.38,189.72
6,326.15,246.8
7,260.84,224.79
8,226.61,197.88
9,231.04,168.87
10,133.37,91.91
11,141.14,67.23
12,126.7,49.96
1,137.23,42.72
2,85.09,61.73
3,159.15,114.11
4,175.54,160.89
5,211.53,201.33
6,234.55,216.14
7,259.16,217.61
8,202.45,188.62
9,209.12,149.7
10,160.71,103.95
11,91.24,57.33
12,95.6,44.89
1,94.32,41.51
2,92.61,69.43
3,153.94,107.7
4,164.48,138.95
5,131.12,165.75
6,192.52,198.22
7,267.58,226.3
8,210.45,185.19
9,196.77,156.66
10,153.21,97.97
11,117.28,63.33
12,112.28,46.7
1,64.4,44.72
2,115.82,68.26
3,111.83,93.02
4,163.29,157.33
5,159.81,170.44
6,265.22,224.7
7,266.39,223.07
8,267.9,211.17
9,166.94,141.94
10,144.35,99.44
11,157.77,76.58
12,113.94,57.53
